,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
12,12,cf439,Lu8 H11 N4,-0.9414460315848652,11.088894088335492,-4.683279824707986,83.01481789088513,4.997611738381227,-7.561591495269623,4.0,11.0
13,13,cf406,Lu8 H11 N7,-0.7878322013527325,10.597270954259088,-5.059123276510143,98.06752015571573,5.189984162650861,-9.352495973115497,7.0,11.0
14,14,cf634,Lu8 H9 N8,-0.9888308400934328,10.867462281320408,-5.476737718679592,72.31351136620039,4.352818306075639,-6.708862420620815,8.0,9.0
15,15,cf39,Lu8 H5 N3,-0.8985926875502628,14.033008002851004,-5.235820122148995,103.47438275758176,2.827528277180027,-7.407847769081344,3.0,5.0
16,16,cf1464,Lu8 H12,-0.604182758803654,12.635152495447574,-2.879847504552424,79.05876544210304,3.674990478317415,-6.297733234808779,0.0,12.0
17,17,cf1000,Lu8 H7 N4,-1.0101811501188327,11.221718266887708,-6.47828173311229,158.57766161958995,15.084502856593616,-15.030521102157325,4.0,7.0
18,18,cf892,Lu8 N6 H8,-1.126030761651319,11.734791850747635,-5.194867240161458,87.23099667785857,5.897960405795038,-7.529646716806334,6.0,8.0
19,19,cf268,Lu8 H20 N3,-0.5981196582382132,8.33252029008638,-4.813487774429749,90.59847162372913,6.443092816782274,-11.034312257973507,3.0,20.0
20,20,cf866,Lu8 H6 N8,-1.1830476944689343,11.79180642194595,-5.879102668963141,97.91002757107428,6.173363441645328,-8.41848670449647,8.0,6.0
21,21,cf1235,Lu8 H6 N1,-0.5674957840722831,16.201982576196436,-2.823267423803565,40.60649800485577,22.895262150484218,-2.8542452956691524,1.0,6.0
22,22,cf859,Lu8 N8 H6,-0.9580064721078748,12.275482661620975,-5.395426429288116,71.92123144481774,4.577877447106123,-5.910744941273357,8.0,6.0
23,23,cf1053,Lu8 H12 N4,-0.9937291547939822,9.84056802951841,-5.550056970481587,52.33434009006452,18.231022129669224,-5.798170645417982,4.0,12.0
24,24,cf455,Lu8 H14 N7,-0.6395635128609338,9.692222393584498,-5.028855192622398,71.62642888274941,8.640537231511537,-7.567132412779441,7.0,14.0
25,25,cf203,Lu8 H10 N8,-0.8241227672467806,10.26812898644844,-5.701871013551561,91.80389280724916,6.082467202397222,-9.06193024980952,8.0,10.0
26,26,cf1408,Lu8 H13 N4,-0.8290151310857619,10.123432813259123,-4.916167186740875,63.6764221128695,4.945303335664445,-6.352281995766877,4.0,13.0
27,27,cf1098,Lu8 H15 N4,-0.7535002788251774,9.940970775293682,-4.474584780261872,73.13143873952782,5.576886003441964,-7.443838740810838,4.0,15.0
28,28,cf1292,Lu8 H10 N4,-0.9827657455144536,11.477432366600874,-4.710976724308216,82.42118936270215,5.146986812723351,-7.256611914461142,4.0,10.0
29,29,cf204,Lu8 N3 H7,-0.895285091900506,12.84029152300751,-5.0225556992147125,60.51368429728107,23.285523535042323,-5.388705319741689,3.0,7.0
30,30,cf452,Lu8 H14 N2,-0.7753746670975185,10.472456155164569,-4.238689678168765,82.61109682777686,2.712195294642201,-7.923206405505326,2.0,14.0
31,31,cf694,Lu8 H12 N8,-0.7076273398176584,9.863570197844984,-5.438215516440727,118.23440269016456,12.996440189908244,-12.569850123386775,8.0,12.0
32,32,cf499,Lu8 H16,-0.6218446077394523,10.290877278714744,-3.740789387951923,81.22254716261088,5.193638351612495,-7.976739484712513,0.0,16.0
33,33,cf656,Lu8 H11 N8,-0.7200283851012096,10.32075574419973,-5.302762774318791,88.1815603680831,5.84504708748999,-8.653039519724137,8.0,11.0
