,0
0,-1.1303275397312973
1,-0.99909286435982
2,-0.8071520123069474
3,-1.1534650844001186
4,-0.7426379603550433
5,-0.6392706754293827
6,-0.722688945669736
7,-0.9956447617229666
8,-1.0288399293228092
9,-0.9687289533303556
10,-0.7177885164605085
11,-1.0427233993132177
12,-0.9414460315848652
13,-0.7878322013527325
14,-0.9888308400934328
15,-0.8985926875502628
16,-0.604182758803654
17,-1.0101811501188327
18,-1.126030761651319
19,-0.5981196582382132
20,-1.1830476944689343
21,-0.5674957840722831
22,-0.9580064721078748
23,-0.9937291547939822
24,-0.6395635128609338
25,-0.8241227672467806
26,-0.8290151310857619
27,-0.7535002788251774
28,-0.9827657455144536
29,-0.895285091900506
30,-0.7753746670975185
31,-0.7076273398176584
32,-0.6218446077394523
33,-0.7200283851012096
34,-0.6818437146167049
35,-0.6450211564285717
36,-0.6676694649144529
37,-0.6518698560209416
38,-0.8363475615781051
39,-1.0214726512322985
40,-1.1135692995558202
41,-0.9576574936921436
42,-0.9610866763596276
43,-0.8975596910034559
44,-0.6336749392590718
45,-1.124549260182233
46,-0.9143231456837384
47,-0.6542358867521182
48,-0.9518197616733074
49,-0.738531858991964
50,-0.8482943786750964
51,-0.6243829472362995
52,-0.7654023985902313
53,-1.6857798047837735
54,-1.0964510116767918
55,-1.2121429125581926
56,-1.2383533261068806
57,-0.8706103679181648
58,-1.1921492449515168
59,-0.6225380058840528
60,-0.8893968969197885
61,-0.6933877494267453
62,-0.735692652436476
63,-0.8155586647292323
64,-1.223630816097688
65,-1.1230862410266127
66,-1.0422463946622726
67,-1.019883791198663
68,-1.6202859077117562
69,-0.9249131979637848
70,-1.167771268933263
71,-0.8655279513058486
72,-0.7631796541046006
73,-0.9847308626037072
74,-0.6607781671660228
75,-0.8319063083097438
76,-0.8384133446161286
77,-0.6548796619967713
78,-0.7749474493824285
79,-0.8327372690120548
80,-0.5712598221617818
81,-0.8899050872638802
82,-1.0206575555604926
83,-0.7507965304959927
84,-0.6316037002428041
85,-0.7455245804195767
86,-0.6075830269902427
87,-0.8799044940491773
88,-0.9970580639892432
89,-0.9144437349916968
90,-0.7225028981237024
91,-0.7750102228937277
92,-0.5909805921369495
93,-1.368288598379877
94,-0.7921114374730678
95,-0.963986758249002
96,-0.993085409879859
97,-0.8556711595659484
98,-0.8679261743297837
99,-1.0902039284304588
100,-0.7803550195082789
101,-1.2667658671540267
102,-1.3835392559733009
103,-0.8451907242342713
104,-1.1489184731970974
105,-1.4154611254804574
106,-1.037287431931042
107,-0.8696564993121061
108,-1.2134730142330228
109,-0.921165525597644
110,-1.0712686268961988
111,-1.7684651860703633
112,-0.9758766578699578
113,-0.7775499808561074
114,-0.488784308621689
115,-0.8591722009838961
116,-1.1345780820951663
117,-1.3397563292230188
118,-0.6551875001815561
119,-0.7641644624668045
120,-0.7086507116625095
121,-0.8454195265798122
122,-0.8133345165462322
123,-0.7909836763635842
124,-1.0458956899709024
125,-0.7484596929050615
126,-0.7813622389045409
127,-1.1605935566383945
128,-0.900930896308273
129,-1.0444847780818236
130,-1.226935389191071
131,-1.105754231732293
132,-0.8499632176870996
133,-1.2185684977032776
134,-1.0528344098810951
135,-0.9983156311494288
136,-0.6807385543825848
137,-0.9162500023817952
138,-0.8258243819134525
139,-0.962767309256141
140,-1.1608975040733294
141,-0.8279992408095859
142,-1.0044603899441429
143,-0.7780048176022579
144,-0.9367231906156424
145,-0.6968845409518551
146,-0.9679215153042936
147,-1.1465856099537286
148,-0.6996914168563048
149,-0.7355166140920052
150,-0.9931112549481136
151,-0.7032753037633013
152,-0.99968530013805
153,-0.9817343722370424
154,-1.009692263836041
155,-1.074262378625344
156,-0.7425407504232335
157,-1.3397026813771744
158,-0.8367577225430135
159,-1.369964844664436
160,-0.6144655052553657
161,-1.1955150519117723
162,-1.076783067364886
163,-0.6065785718932485
164,-0.7245358434302034
165,-0.820635429461685
166,-0.9612007785399328
167,-1.0683504705278513
168,-1.060898036819708
169,-0.8371607939982575
170,-0.7202047582977684
171,-0.9593766915101392
172,-0.7994591481389943
173,-0.7477802140841959
174,-1.205435278220749
175,-0.5601931471867899
176,-1.034277469376155
177,-0.7865620972391169
178,-0.8739794546321112
179,-0.7853766251724804
180,-0.7772094630609817
181,-0.6970073673785789
182,-0.9905673568580824
183,-1.112734219768754
184,-0.9977708825905816
185,-0.9423873271977452
186,-0.8989691918988962
187,-1.012862065712081
188,-0.7205872104698626
189,-0.7257711537632321
190,-0.2098772847768321
191,-1.054252454680474
192,-0.7952209357135871
193,-0.688543693592342
194,-0.7300340901756499
195,-0.9406731207689684
196,-0.9162332209216402
197,-1.09935616711395
198,-0.8218351926166528
199,-0.9455431578026036
200,-1.0110313233009565
201,-1.2148751162790827
202,-0.9082898673777192
203,-1.1357450417470485
204,-0.7683422246738614
205,-1.0607597854839697
206,-0.666548630474305
207,-1.1197145059819984
208,-0.9588221785975508
209,-0.6502309998201478
210,-0.9010424828386596
211,-1.0007643336733356
212,-1.1032150432118215
213,-0.8199390995449414
214,-1.110170192454296
215,-0.7771337418783911
216,-0.8851165249282834
217,-1.0621814271180483
218,-0.7018460975258287
219,-0.8002315375465864
220,-0.6672527828471045
221,-0.925261771852652
222,-0.698957869682184
223,-0.8897911476221149
224,-1.1760012142643972
225,-1.11368862782183
226,-1.0986326221265534
227,-0.99863860147003
228,-0.5100732572631946
229,-0.8529799162693402
230,-1.0200446001459071
231,-0.7296739121583025
232,-0.6878650569766439
233,-0.6510123436350239
234,-0.8747030991110548
235,-0.8362973939326296
236,-0.6279291062024034
237,-0.7505768973486349
238,-1.049678101507358
239,-0.993426855112375
240,-0.9050628368228596
241,-1.0528084793540984
242,-0.9093016386790016
243,-0.9976409564053604
244,-0.9779304233629124
245,-0.8827619874975189
246,-1.24794765945353
247,-0.9186588874581504
248,-0.7552249490893571
249,-1.180694516559015
250,-1.0155662179536498
251,-0.7047748348478966
252,-1.6648456480761524
253,-1.0485306836433463
254,-1.0950791769615276
255,-0.9974396105875106
256,-0.905991104315035
257,-0.9694084040975212
258,-1.307405304515851
259,-1.1728072974781918
260,-0.8291116201374583
261,-0.7623215938482855
262,-0.8326803986649458
263,-0.752801553583898
264,-0.6086544283008313
265,-0.8954372384877864
266,-0.7882598601327118
267,-0.8658089167217259
268,-1.2429218246007192
269,-0.6486823407287011
270,-0.5732084446006469
271,-0.8972467803099183
272,-0.7441959048777915
273,-0.5768643480041646
274,-1.0060385588537126
275,-0.8565208667569095
276,-0.8957004904013592
277,-0.6884176106738907
278,-1.0437905020036218
279,-0.7521573277114874
280,-0.8574499259970616
281,-0.9880846092299022
282,-0.902350575690798
283,-1.0948848331265089
284,-1.0029415194501206
285,-0.7389730247156442
286,-0.7324586765098502
287,-0.8260699587281914
288,-0.7776712725338127
289,-1.065127581107266
290,-1.071575219185701
291,-1.0674494349177142
292,-0.7006059221423736
293,-0.871204178263118
294,-0.8535371200201692
295,-0.9880597946764846
296,-0.5971153312314225
297,-1.0688317923533033
298,-1.1849053845119972
299,-1.00034220911608
300,-0.9911921783527562
301,1.838446405599825e-05
302,-0.7262237548818423
303,-0.8884344437606878
304,-1.0518024976688474
305,-1.123273703921032
306,-1.1106869071882102
307,-0.988081718098494
308,-1.0502575540003818
309,-1.1244570286300066
310,-0.5632210817909048
311,-1.060377203802798
312,-0.632733781084896
313,-0.5822666772052317
314,-1.0055032151473522
315,-1.210466134667513
